Kruskal 450  773 2654777300 ns 10 % 
Kruskal 450  2021 2592910200 ns 80 % 
Kruskal 450  1645 2478309600 ns 30 % 
Kruskal 450  1989 2472332800 ns 70 % 
Kruskal 450  1945 2615640800 ns 60 % 
Kruskal 450  1989 2566462000 ns 70 % 
Kruskal 450  1885 2665939300 ns 50 % 
Kruskal 500  2163 3433784500 ns 60 % 
Kruskal 500  2211 3165387900 ns 70 % 
Kruskal 500  2163 3578729500 ns 60 % 
Kruskal 500  1995 3013468500 ns 40 % 
Kruskal 500  1503 3133314700 ns 20 % 
Kruskal 500  887 3026983600 ns 10 % 
Kruskal 500  2247 3175253200 ns 80 % 
Kruskal 500  2163 3527784900 ns 60 % 
Kruskal 500  1995 3302058400 ns 40 % 
Kruskal 500  1831 3383849900 ns 30 % 
Kruskal 550  2501 3985808000 ns 90 % 
Kruskal 550  1653 3715208800 ns 20 % 
Kruskal 550  2017 3724198000 ns 30 % 
Kruskal 550  1649 3583810500 ns 20 % 
Kruskal 550  2013 3372325900 ns 30 % 
Kruskal 550  1653 3750262400 ns 20 % 
Kruskal 550  2505 3374440600 ns 90 % 
Kruskal 550  2433 4162190600 ns 70 % 
Kruskal 550  2501 3932917800 ns 90 % 
Kruskal 550  2305 4066013600 ns 50 % 
Kruskal 600  2515 5033681300 ns 50 % 
Kruskal 600  1007 5040408100 ns 10 % 
Kruskal 600  2731 4722384500 ns 90 % 
Kruskal 600  1055 4416737700 ns 10 % 
Kruskal 600  2595 4750835000 ns 60 % 
Kruskal 600  1807 4476509200 ns 20 % 
Kruskal 600  2655 4857565700 ns 70 % 
Kruskal 600  2695 5042151300 ns 80 % 
Kruskal 600  2395 4969566600 ns 40 % 
Kruskal 600  2195 4288918200 ns 30 % 
Kruskal 625  2620 5395403900 ns 50 % 
Kruskal 625  2496 5133922400 ns 40 % 
Kruskal 625  2844 5412994100 ns 90 % 
Kruskal 625  2620 5512530700 ns 50 % 
Kruskal 625  2496 5236002500 ns 40 % 
Kruskal 625  2844 5284238100 ns 90 % 
Kruskal 625  2808 5182875100 ns 80 % 
Kruskal 625  2496 5663421300 ns 40 % 
Kruskal 625  2844 4938675700 ns 90 % 
Kruskal 625  2504 5321287800 ns 40 % 
Kruskal 650  2813 5582364000 ns 60 % 
Kruskal 650  2725 5105203800 ns 50 % 
Kruskal 650  1073 5805346200 ns 10 % 
Kruskal 650  2381 5698340000 ns 30 % 
Kruskal 650  1949 5458391100 ns 20 % 
Kruskal 650  1949 5963529100 ns 20 % 
Kruskal 650  1009 5751284200 ns 10 % 
Kruskal 650  2381 5601881000 ns 30 % 
Kruskal 650  2921 5979020400 ns 80 % 
Kruskal 650  1077 5466002500 ns 10 % 
Kruskal 675  2470 5970049200 ns 30 % 
Kruskal 675  2022 5854908400 ns 20 % 
Kruskal 675  2698 5299330000 ns 40 % 
Kruskal 675  3074 6493964100 ns 90 % 
Kruskal 675  3034 6057974700 ns 80 % 
Kruskal 675  2986 6057187300 ns 70 % 
