Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                7                        0 -> 4 -> 1
2                7                        0 -> 2
3                9                        0 -> 9 -> 3
4                6                        0 -> 4
5                8                        0 -> 2 -> 5
6                6                        0 -> 6
7                3                        0 -> 7
8                7                        0 -> 9 -> 8
9                1                        0 -> 9
