Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                2                        0 -> 25 -> 1
2                2                        0 -> 41 -> 2
3                3                        0 -> 68 -> 3
4                3                        0 -> 14 -> 15 -> 4
5                3                        0 -> 28 -> 5
6                4                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 9 -> 8
9                1                        0 -> 9
10                3                        0 -> 68 -> 10
11                3                        0 -> 18 -> 11
12                4                        0 -> 12
13                3                        0 -> 68 -> 13
14                1                        0 -> 14
15                2                        0 -> 14 -> 15
16                2                        0 -> 68 -> 16
17                3                        0 -> 41 -> 30 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                4                        0 -> 9 -> 20
21                2                        0 -> 35 -> 21
22                3                        0 -> 14 -> 62 -> 22
23                3                        0 -> 18 -> 23
24                2                        0 -> 67 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                2                        0 -> 41 -> 30
31                3                        0 -> 18 -> 31
32                2                        0 -> 41 -> 32
33                2                        0 -> 33
34                2                        0 -> 9 -> 34
35                1                        0 -> 35
36                3                        0 -> 41 -> 2 -> 36
37                3                        0 -> 68 -> 37
38                4                        0 -> 41 -> 32 -> 38
39                3                        0 -> 67 -> 66 -> 39
40                2                        0 -> 25 -> 40
41                1                        0 -> 41
42                2                        0 -> 35 -> 42
43                3                        0 -> 25 -> 43
44                3                        0 -> 25 -> 40 -> 44
45                3                        0 -> 45
46                2                        0 -> 41 -> 46
47                3                        0 -> 47
48                3                        0 -> 67 -> 48
49                2                        0 -> 18 -> 49
50                3                        0 -> 28 -> 50
51                3                        0 -> 25 -> 59 -> 51
52                3                        0 -> 25 -> 40 -> 52
53                3                        0 -> 25 -> 53
54                2                        0 -> 25 -> 54
55                4                        0 -> 69 -> 55
56                3                        0 -> 18 -> 56
57                2                        0 -> 9 -> 57
58                3                        0 -> 41 -> 58
59                2                        0 -> 25 -> 59
60                3                        0 -> 18 -> 49 -> 60
61                3                        0 -> 41 -> 61
62                2                        0 -> 14 -> 62
63                4                        0 -> 25 -> 53 -> 63
64                2                        0 -> 18 -> 64
65                3                        0 -> 65
66                2                        0 -> 67 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 41 -> 70
71                3                        0 -> 67 -> 71
72                4                        0 -> 25 -> 40 -> 44 -> 72
73                3                        0 -> 67 -> 66 -> 73
74                3                        0 -> 25 -> 74
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                2                        0 -> 25 -> 1
2                2                        0 -> 41 -> 2
3                3                        0 -> 68 -> 3
4                3                        0 -> 14 -> 15 -> 4
5                3                        0 -> 28 -> 5
6                4                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 9 -> 8
9                1                        0 -> 9
10                3                        0 -> 68 -> 10
11                3                        0 -> 18 -> 11
12                4                        0 -> 12
13                3                        0 -> 68 -> 13
14                1                        0 -> 14
15                2                        0 -> 14 -> 15
16                2                        0 -> 68 -> 16
17                3                        0 -> 41 -> 30 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                4                        0 -> 9 -> 20
21                2                        0 -> 35 -> 21
22                3                        0 -> 14 -> 62 -> 22
23                3                        0 -> 18 -> 23
24                2                        0 -> 67 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                2                        0 -> 41 -> 30
31                3                        0 -> 18 -> 31
32                2                        0 -> 41 -> 32
33                2                        0 -> 33
34                2                        0 -> 9 -> 34
35                1                        0 -> 35
36                3                        0 -> 41 -> 2 -> 36
37                3                        0 -> 68 -> 37
38                4                        0 -> 41 -> 32 -> 38
39                3                        0 -> 67 -> 66 -> 39
