Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 35 -> 1
2                3                        0 -> 25 -> 2
3                2                        0 -> 9 -> 3
4                2                        0 -> 197 -> 4
5                2                        0 -> 186 -> 5
6                3                        0 -> 41 -> 143 -> 6
7                3                        0 -> 7
8                3                        0 -> 9 -> 8
9                1                        0 -> 9
10                3                        0 -> 9 -> 10
11                3                        0 -> 14 -> 11
12                2                        0 -> 197 -> 12
13                2                        0 -> 35 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 158 -> 15
16                2                        0 -> 186 -> 16
17                2                        0 -> 68 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 127 -> 20
21                3                        0 -> 9 -> 184 -> 21
22                3                        0 -> 68 -> 22
23                2                        0 -> 25 -> 23
24                2                        0 -> 68 -> 24
25                1                        0 -> 25
26                2                        0 -> 67 -> 26
27                2                        0 -> 35 -> 27
28                2                        0 -> 28
29                3                        0 -> 68 -> 29
30                2                        0 -> 68 -> 30
31                3                        0 -> 68 -> 31
32                3                        0 -> 35 -> 166 -> 32
33                2                        0 -> 33
34                3                        0 -> 159 -> 34
35                1                        0 -> 35
36                3                        0 -> 197 -> 187 -> 36
37                3                        0 -> 67 -> 169 -> 37
38                3                        0 -> 18 -> 178 -> 38
39                3                        0 -> 197 -> 43 -> 39
40                2                        0 -> 197 -> 40
41                1                        0 -> 41
42                3                        0 -> 67 -> 42
43                2                        0 -> 197 -> 43
44                3                        0 -> 9 -> 198 -> 44
45                3                        0 -> 45
46                3                        0 -> 9 -> 46
47                2                        0 -> 161 -> 47
48                2                        0 -> 161 -> 48
49                2                        0 -> 25 -> 49
50                3                        0 -> 186 -> 50
51                3                        0 -> 197 -> 180 -> 51
52                3                        0 -> 14 -> 52
53                3                        0 -> 35 -> 146 -> 53
54                2                        0 -> 25 -> 54
55                3                        0 -> 14 -> 154 -> 55
56                2                        0 -> 9 -> 56
57                4                        0 -> 9 -> 57
58                3                        0 -> 197 -> 58
59                2                        0 -> 161 -> 59
60                2                        0 -> 68 -> 60
61                3                        0 -> 35 -> 61
62                3                        0 -> 9 -> 198 -> 62
63                3                        0 -> 9 -> 198 -> 63
64                3                        0 -> 9 -> 198 -> 64
65                2                        0 -> 186 -> 65
66                3                        0 -> 68 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                3                        0 -> 186 -> 70
71                3                        0 -> 67 -> 150 -> 71
72                3                        0 -> 67 -> 192 -> 72
73                3                        0 -> 25 -> 73
74                3                        0 -> 67 -> 150 -> 74
75                2                        0 -> 186 -> 75
76                2                        0 -> 9 -> 76
77                3                        0 -> 41 -> 182 -> 77
78                3                        0 -> 197 -> 180 -> 78
79                3                        0 -> 67 -> 192 -> 79
80                3                        0 -> 9 -> 99 -> 80
81                2                        0 -> 186 -> 81
82                2                        0 -> 82
83                2                        0 -> 18 -> 83
